,0,1
532,0.53,
533,0.52,
534,0.58,
535,0.5,
536,0.53,
537,0.5,
538,0.46,
539,0.48,
540,0.62,
541,0.57,
542,0.48,
543,0.54,
544,0.56,
545,0.5,
546,0.52,
547,0.53,
548,0.58,
549,0.48,
550,0.53,
551,0.56,
552,0.45,
553,0.51,
554,0.58,
555,0.5,
556,0.6,
557,0.55,
558,0.49,
559,0.6,
560,0.43,
561,0.52,
562,0.53,
563,0.5,
564,0.49,
565,0.67,
566,0.57,
567,0.55,
568,0.58,
569,0.52,
570,0.46,
571,0.51,
572,0.49,
573,0.61,
574,0.52,
575,0.52,
576,0.57,
577,0.55,
578,0.45,
579,0.47,
580,0.58,
581,0.58,
582,0.39,
583,0.5,
584,0.54,
585,0.59,
586,0.64,
587,0.53,
588,0.53,
589,0.59,
590,0.43,
591,0.47,
592,0.56,
593,0.52,
594,0.55,
595,0.54,
596,0.61,
597,0.52,
598,0.48,
599,0.55,
600,0.51,
601,0.53,
602,0.5,
603,0.55,
604,0.54,
605,0.57,
606,0.48,
607,0.54,
608,0.48,
609,0.53,
610,0.52,
611,0.51,
612,0.59,
613,0.54,
614,0.53,
615,0.52,
616,0.56,
617,0.58,
618,0.6,
619,0.55,
620,0.54,
621,0.56,
622,0.57,
623,0.58,
624,0.64,
625,0.57,
626,0.55,
627,0.65,
628,0.53,
629,0.57,
630,0.57,
631,0.67,
632,0.57,
633,0.48,
634,0.63,
635,0.55,
636,0.54,
637,0.61,
638,0.56,
639,0.62,
640,0.53,
641,0.52,
642,0.56,
643,0.54,
644,0.52,
645,0.58,
646,0.59,
647,0.59,
648,0.52,
649,0.51,
650,0.54,
651,0.53,
652,0.54,
653,0.44,
654,0.63,
655,0.63,
656,0.61,
657,0.55,
658,0.57,
659,0.5,
660,0.57,
661,0.57,
662,0.61,
663,0.57,
664,0.6,
665,0.48,
666,0.55,
667,0.52,
668,0.63,
669,0.55,
670,0.52,
671,0.53,
672,0.51,
673,0.61,
674,0.62,
675,0.59,
676,0.61,
677,0.48,
678,0.57,
679,0.47,
680,0.56,
681,0.56,
682,0.55,
683,0.57,
684,0.57,
685,0.64,
686,0.52,
687,0.61,
688,0.53,
689,0.52,
690,0.55,
691,0.62,
692,0.62,
693,0.6,
694,0.58,
695,0.67,
696,0.56,
697,0.53,
698,0.64,
699,0.48,
700,0.69,
701,0.5,
702,0.56,
703,0.53,
704,0.53,
705,0.52,
706,0.54,
707,0.56,
708,0.55,
709,0.63,
710,0.59,
711,0.58,
712,0.62,
713,0.64,
714,0.55,
715,0.65,
716,0.54,
717,0.61,
718,0.67,
719,0.62,
720,0.48,
721,0.51,
722,0.66,
723,0.55,
724,0.61,
725,0.57,
726,0.59,
727,0.7,
728,0.62,
729,0.58,
730,0.72,
731,0.59,
732,0.51,
733,0.53,
734,0.6,
735,0.64,
736,0.55,
737,0.6,
738,0.53,
739,0.68,
740,0.55,
741,0.53,
742,0.65,
743,0.55,
744,0.63,
745,0.56,
746,0.61,
747,0.64,
748,0.58,
749,0.57,
750,0.48,
751,0.48,
752,0.58,
753,0.65,
754,0.6,
755,0.63,
756,0.54,
757,0.61,
758,0.57,
759,0.64,
760,0.61,
761,0.52,
762,0.65,
763,0.59,
764,0.56,
765,0.57,
766,0.52,
767,0.57,
768,0.63,
769,0.6,
770,0.52,
771,0.6,
772,0.61,
773,0.65,
774,0.56,
775,0.6,
776,0.64,
777,0.59,
778,0.63,
779,0.63,
780,0.48,
781,0.55,
782,0.6,
783,0.61,
784,0.56,
785,0.58,
786,0.6,
787,0.6,
788,0.57,
789,0.56,
790,0.64,
791,0.61,
792,0.58,
793,0.62,
794,0.55,
795,0.55,
796,0.55,
797,0.6,
798,0.63,
799,0.56,
800,0.55,
801,0.58,
802,0.55,
